season,player_id,player_name,team,date,opponent,is_home,is_win,game_pk,position,innings,putouts,assists,errors,throwing_errors,chances,fielding_pct,double_plays,triple_plays,range_factor_per_game,range_factor_per_9
2025,674265,Kevin Abel,Peoria Javelinas,2025-10-22,Glendale Desert Dogs,True,True,825643,P,1.0,0,0,0,0,0,.000,0,0,0.00,0.00
2025,674265,Kevin Abel,Peoria Javelinas,2025-10-28,Salt River Rafters,True,True,825639,P,2.0,0,0,0,0,0,.000,0,0,0.00,0.00
2025,674265,Kevin Abel,Peoria Javelinas,2025-11-02,Scottsdale Scorpions,False,False,825610,P,1.0,0,0,0,0,0,.000,0,0,0.00,0.00
2025,701771,Billy Amick,Peoria Javelinas,2025-10-06,Scottsdale Scorpions,False,True,825618,3B,9.0,1,0,0,0,1,1.000,1,0,1.00,1.00
2025,701771,Billy Amick,Peoria Javelinas,2025-10-09,Surprise Saguaros,True,False,825652,1B,9.0,7,0,0,0,7,1.000,1,0,7.00,7.00
2025,701771,Billy Amick,Peoria Javelinas,2025-10-15,Glendale Desert Dogs,True,False,825648,1B,9.0,11,0,0,0,11,1.000,0,0,11.00,11.00
2025,701771,Billy Amick,Peoria Javelinas,2025-10-17,Salt River Rafters,False,True,825632,1B,9.0,5,1,0,0,6,1.000,1,0,6.00,6.00
2025,701771,Billy Amick,Peoria Javelinas,2025-10-18,Salt River Rafters,True,False,825644,3B,7.0,1,1,0,0,2,1.000,1,0,2.00,2.57
2025,701771,Billy Amick,Peoria Javelinas,2025-10-21,Scottsdale Scorpions,True,True,825616,3B,7.0,0,2,0,0,2,1.000,0,0,2.00,2.57
2025,701771,Billy Amick,Peoria Javelinas,2025-10-22,Glendale Desert Dogs,True,True,825643,1B,9.0,11,0,0,0,11,1.000,2,0,11.00,11.00
2025,701771,Billy Amick,Peoria Javelinas,2025-10-26,Surprise Saguaros,False,False,825584,1B,8.0,9,0,0,0,9,1.000,1,0,9.00,10.13
2025,701771,Billy Amick,Peoria Javelinas,2025-10-30,Surprise Saguaros,True,False,825642,1B,9.0,10,0,0,0,10,1.000,1,0,10.00,10.00
2025,701771,Billy Amick,Peoria Javelinas,2025-11-06,Glendale Desert Dogs,True,False,825641,DH,0.0,0,0,0,0,0,1.000,0,0,0.00,-.--
2025,701771,Billy Amick,Peoria Javelinas,2025-11-11,Mesa Solar Sox,False,False,825592,1B,6.0,4,0,0,0,4,1.000,2,0,4.00,6.00
2025,803175,Ethan Anderson,Peoria Javelinas,2025-10-08,Mesa Solar Sox,False,True,825606,C,10.0,11,1,0,0,12,1.000,0,0,12.00,10.80
2025,803175,Ethan Anderson,Peoria Javelinas,2025-10-10,Salt River Rafters,True,True,825651,DH,0.0,0,0,0,0,0,1.000,0,0,0.00,-.--
2025,803175,Ethan Anderson,Peoria Javelinas,2025-10-15,Glendale Desert Dogs,True,False,825648,DH,0.0,0,0,0,0,0,1.000,0,0,0.00,-.--
