pitcher_id,pitcher_name,age,airOuts,atBats,avg,balks,baseOnBalls,battersFaced,blownSaves,catchersInterference,caughtStealing,caughtStealingPercentage,completeGames,doubles,earnedRuns,era,gamesFinished,gamesPitched,gamesPlayed,gamesStarted,groundIntoDoublePlay,groundOuts,groundOutsToAirouts,hitBatsmen,hitByPitch,hits,hitsPer9Inn,holds,homeRuns,homeRunsPer9,inheritedRunners,inheritedRunnersScored,inningsPitched,intentionalWalks,losses,numberOfPitches,obp,ops,outs,pickoffs,pitchesPerInning,runs,runsScoredPer9,sacBunts,sacFlies,saveOpportunities,saves,shutouts,slg,stolenBasePercentage,stolenBases,strikeOuts,strikePercentage,strikeoutWalkRatio,strikeoutsPer9Inn,strikes,totalBases,triples,walksPer9Inn,whip,wildPitches,winPercentage,wins
691000,Carson Montgomery,22,11,40,.275,0,7,48,0,0,0,.000,0,2,2,1.74,0,4,4,4,0,11,1.00,1,1,11,9.58,0,0,0.00,0,0,10.1,0,0,180,.396,.721,31,0,17.42,2,1.74,0,0,0,0,0,.325,1.000,4,7,.600,1.00,6.10,108,13,0,6.10,1.74,1,1.000,1
687562,Jake Bennett,24,12,77,.260,0,5,83,0,0,1,.167,0,6,10,4.50,0,5,5,4,0,21,1.75,0,0,20,9.00,1,2,0.90,0,0,20.0,0,1,311,.301,.717,60,0,15.55,10,4.50,0,1,0,0,0,.416,.833,5,25,.650,5.00,11.25,202,32,0,2.25,1.25,0,.500,1
805321,Trevor Kuncl,26,3,29,.207,0,6,36,1,1,0,.000,0,1,3,3.52,5,7,7,0,0,5,1.67,0,0,6,7.04,1,0,0.00,8,5,7.2,0,0,158,.343,.584,23,0,20.61,3,3.52,0,0,2,1,0,.241,1.000,1,15,.600,2.50,17.61,95,7,0,7.04,1.57,3,.---,0
686753,Drey Jameson,27,4,20,.200,0,4,24,0,0,0,.---,0,1,4,6.35,0,6,6,0,1,8,2.00,0,0,4,6.35,2,0,0.00,2,0,5.2,0,0,95,.333,.583,17,0,16.76,4,6.35,0,0,0,0,0,.250,.---,0,4,.550,1.00,6.35,52,5,0,6.35,1.41,0,1.000,1
807410,Chay Yeager,22,6,35,.371,0,7,44,1,0,0,.000,0,1,8,9.00,2,8,8,0,1,10,1.67,1,1,13,14.63,1,3,3.38,7,4,8.0,0,1,167,.477,1.134,24,0,20.88,8,9.00,0,1,1,0,0,.657,1.000,1,7,.600,1.00,7.88,100,23,0,7.88,2.50,0,.000,0
682982,Daniel Espino,24,5,18,.222,1,3,21,0,0,0,.000,0,0,0,0.00,0,4,4,4,0,2,0.40,0,0,4,7.71,0,0,0.00,0,0,4.2,0,0,84,.333,.555,14,0,18.00,0,0.00,0,0,0,0,0,.222,1.000,1,7,.600,2.33,13.50,50,4,0,5.79,1.50,0,1.000,1
701480,Bryce Cunningham,22,16,58,.345,0,9,69,0,0,1,1.000,0,10,15,10.38,0,5,5,5,1,15,0.94,1,1,20,13.85,0,2,1.38,0,0,13.0,0,4,264,.435,1.090,39,0,20.31,19,13.15,0,1,0,0,0,.655,.000,0,8,.590,0.89,5.54,155,38,1,6.23,2.23,3,.000,0
693713,Emiliano Teodo,24,0,11,.000,0,5,16,0,0,0,.---,0,0,1,2.25,3,4,4,0,1,5,5.00,0,0,0,0.00,0,0,0.00,0,0,4.0,0,0,83,.313,.313,12,0,20.75,1,2.25,0,0,2,2,0,.000,.---,0,6,.530,1.20,13.50,44,0,0,11.25,1.25,2,.---,0
804663,Tyler Cleveland,25,3,25,.200,0,6,31,1,0,0,.000,0,0,3,4.05,2,6,6,0,0,5,1.67,0,0,5,6.75,0,1,1.35,2,0,6.2,0,0,128,.355,.675,20,0,19.20,3,4.05,0,0,2,1,0,.320,1.000,4,12,.580,2.00,16.20,74,8,0,8.10,1.65,0,1.000,1
802374,Brady Kirtner,23,10,36,.389,0,6,43,1,0,0,.000,0,2,5,6.14,1,7,7,0,0,7,0.70,0,0,14,17.18,1,0,0.00,7,5,7.1,0,1,158,.465,.909,22,0,21.55,10,12.27,0,1,2,1,0,.444,1.000,6,6,.630,1.00,7.36,100,16,0,7.36,2.73,1,.000,0
