season,team,player_id,full_name,jersey_number,position_code,position_name,position_abbreviation,org_id,org_name,birth_date,age,birth_city,birth_state,birth_country,height,weight,bats,throws,draft_year,mlb_debut_date
2025,Peoria Javelinas,674265,Kevin Abel,53,1,Pitcher,P,113,Cincinnati Reds,1999-02-19,27,San Diego,CA,USA,"6' 1""",195,Right,Right,2021,
2025,Peoria Javelinas,701771,Billy Amick,20,5,Third Base,3B,121,New York Mets,2002-11-04,23,Mooresville,NC,USA,"6' 1""",220,Right,Right,2024,
2025,Peoria Javelinas,803175,Ethan Anderson,34,2,Catcher,C,110,Baltimore Orioles,2003-09-21,23,Honolulu,HI,USA,"6' 1""",215,Switch,Right,2024,
2025,Peoria Javelinas,699114,Leo Balcazar,17,6,Shortstop,SS,113,Cincinnati Reds,2004-06-17,22,Maracay,,Venezuela,"5' 10""",190,Right,Right,,
2025,Peoria Javelinas,691629,Miguelangel Boadas,30,1,Pitcher,P,142,Minnesota Twins,2002-12-07,23,Porlamar,,Venezuela,"6' 1""",181,Right,Right,,
2025,Peoria Javelinas,690961,Enrique Bradfield Jr.,24,8,Outfielder,CF,110,Baltimore Orioles,2001-12-02,24,Pembroke Pines,FL,USA,"5' 11""",170,Left,Left,2023,
2025,Peoria Javelinas,804663,Tyler Cleveland,18,1,Pitcher,P,136,Seattle Mariners,1999-09-09,27,Little Rock,AR,USA,"6' 2""",185,Left,Right,2022,
2025,Peoria Javelinas,702253,Cam Collier,6,5,Third Base,3B,113,Cincinnati Reds,2004-11-20,21,Chicago,IL,USA,"6' 1""",210,Left,Right,2022,
2025,Peoria Javelinas,801725,Luis De León,11,1,Pitcher,P,110,Baltimore Orioles,2003-04-14,23,Barahona,,Dominican Republic,"6' 3""",168,Left,Left,,2026-09-01
2025,Peoria Javelinas,687040,Sayer Diederich,44,1,Pitcher,P,110,Baltimore Orioles,2000-10-10,25,Omaha,NE,USA,"5' 11""",190,Left,Left,2023,
2025,Peoria Javelinas,805955,Carson Dorsey,16,1,Pitcher,P,110,Baltimore Orioles,2003-02-25,23,Panama City,FL,USA,"6' 0""",180,Left,Left,2024,
2025,Peoria Javelinas,827317,Brandon Downer,29,1,Pitcher,P,110,Baltimore Orioles,2003-05-10,23,Fullerton,CA,USA,"6' 4""",225,Right,Right,2024,
2025,Peoria Javelinas,806957,Alfredo Duno,28,2,Catcher,C,113,Cincinnati Reds,2006-01-07,20,Miranda,,Venezuela,"6' 2""",210,Right,Right,,
2025,Peoria Javelinas,806071,Jonny Farmelo,21,O,Outfield,OF,136,Seattle Mariners,2004-09-09,22,Centreville,VA,USA,"6' 1""",205,Left,Right,2023,
2025,Peoria Javelinas,828471,Jakob Hall,19,1,Pitcher,P,142,Minnesota Twins,2002-08-14,24,Tulsa,OK,USA,"6' 1""",195,Right,Right,2024,
2025,Peoria Javelinas,801333,Johnathan Harmon,48,1,Pitcher,P,113,Cincinnati Reds,2000-09-04,26,Natchitoches,LA,USA,"6' 4""",195,Right,Right,2022,
2025,Peoria Javelinas,686470,Ryan Hawks,46,1,Pitcher,P,136,Seattle Mariners,2000-11-24,25,Bowling Green,KY,USA,"6' 2""",235,Right,Right,2023,
2025,Peoria Javelinas,695569,Luke Hayden,43,1,Pitcher,P,113,Cincinnati Reds,2002-12-05,23,Bloomington,IN,USA,"6' 0""",195,Right,Right,2024,
2025,Peoria Javelinas,804592,Hunter Hoopes,40,1,Pitcher,P,142,Minnesota Twins,2000-03-04,26,Fairfax,VA,USA,"6' 1""",200,Right,Right,2023,
2025,Peoria Javelinas,810838,Ryan Jackson,8,6,Shortstop,SS,135,San Diego Padres,2001-11-27,24,Walnut Creek,CA,USA,"5' 8""",180,Right,Right,2024,
2025,Peoria Javelinas,701682,Braedon Karpathios,22,9,Outfielder,RF,135,San Diego Padres,2003-06-19,23,Willow Street,PA,USA,"5' 11""",186,Left,Left,2022,
2025,Peoria Javelinas,807748,Kannon Kemp,37,1,Pitcher,P,135,San Diego Padres,2004-09-03,22,Weatherford,TX,USA,"6' 5""",225,Right,Right,2023,
2025,Peoria Javelinas,702601,Lamar King Jr.,27,2,Catcher,C,135,San Diego Padres,2003-12-07,22,Vancouver,BC,Canada,"6' 3""",215,Right,Right,2022,
2025,Peoria Javelinas,700675,Jimmy Kingsbury,26,1,Pitcher,P,136,Seattle Mariners,1999-02-13,27,Philadelphia,PA,USA,"5' 11""",190,Right,Right,2021,
2025,Peoria Javelinas,805321,Trevor Kuncl,38,1,Pitcher,P,113,Cincinnati Reds,1999-02-28,27,Philadelphia,PA,USA,"5' 10""",200,Right,Right,2022,
2025,Peoria Javelinas,695076,Rhett Lowder,25,1,Pitcher,P,113,Cincinnati Reds,2002-03-08,24,Albemarle,NC,USA,"6' 1""",200,Right,Right,2023,2024-08-30
2025,Peoria Javelinas,694230,Hendry Mendez,12,O,Outfield,OF,142,Minnesota Twins,2003-11-07,22,Santo Domingo,,Dominican Republic,"6' 3""",175,Left,Left,,
2025,Peoria Javelinas,808063,Maikel Miralles,77,1,Pitcher,P,135,San Diego Padres,2004-10-22,21,Maracay,,Venezuela,"5' 11""",160,Right,Right,,
2025,Peoria Javelinas,691000,Carson Montgomery,47,1,Pitcher,P,135,San Diego Padres,2002-08-13,24,Windermere,FL,USA,"6' 1""",215,Right,Right,2023,
2025,Peoria Javelinas,808052,Johan Moreno,62,1,Pitcher,P,135,San Diego Padres,2003-03-26,23,Coro,,Venezuela,"6' 1""",180,Right,Right,,
2025,Peoria Javelinas,814491,Tucker Musgrove,32,1,Pitcher,P,135,San Diego Padres,2002-02-01,24,Chunchula,AL,USA,"6' 1""",175,Right,Right,2023,
2025,Peoria Javelinas,813860,Charlie Pagliarini,9,5,Third Base,3B,136,Seattle Mariners,2000-12-12,25,Trumbull,CT,USA,"6' 0""",210,Left,Right,2023,
2025,Peoria Javelinas,688609,Hunter Parks,15,1,Pitcher,P,113,Cincinnati Reds,2001-04-28,25,Gastonia,NC,USA,"6' 2""",193,Right,Right,2021,
2025,Peoria Javelinas,681041,Marcelo Perez,36,1,Pitcher,P,136,Seattle Mariners,1999-11-16,26,Laredo,TX,USA,"5' 10""",195,Right,Right,2022,
2025,Peoria Javelinas,805812,Dylan Questad,55,1,Pitcher,P,142,Minnesota Twins,2004-11-02,21,Waukesha,WI,USA,"5' 11""",200,Right,Right,2023,
2025,Peoria Javelinas,806288,Stefan Raeth,31,1,Pitcher,P,136,Seattle Mariners,2000-08-31,26,Lafayette,CA,USA,"6' 0""",195,Left,Right,2022,
2025,Peoria Javelinas,801126,Brock Rodden,5,4,Second Base,2B,136,Seattle Mariners,2000-05-25,26,Durant,OK,USA,"5' 7""",170,Switch,Right,2023,2026-08-14
2025,Peoria Javelinas,801415,Zander Sechrist,23,1,Pitcher,P,142,Minnesota Twins,2002-03-14,24,Snellville,GA,USA,"6' 2""",192,Right,Left,2024,
2025,Peoria Javelinas,823801,Tanner Smith,49,1,Pitcher,P,110,Baltimore Orioles,2002-08-05,24,Weymouth,MA,USA,"6' 6""",245,Right,Right,2024,
2025,Peoria Javelinas,800449,Thomas Sosa,3,8,Outfielder,CF,110,Baltimore Orioles,2005-01-18,21,Villa Mella,,DOM,"6' 4""",160,Left,Left,,
2025,Peoria Javelinas,806263,Brandon Winokur,4,6,Shortstop,SS,142,Minnesota Twins,2004-12-16,21,Newport Beach,CA,USA,"6' 5""",210,Right,Right,2023,
2025,Glendale Desert Dogs,805373,Nacho Alvarez Jr.,67,6,Shortstop,SS,108,Los Angeles Angels,2003-04-11,23,Fontana,CA,USA,"5' 10""",190,Right,Right,2022,2024-07-22
2025,Glendale Desert Dogs,806334,Alex Amalfi,28,1,Pitcher,P,141,Toronto Blue Jays,2001-02-18,25,Ashland,MA,USA,"6' 1""",185,Right,Right,,
2025,Glendale Desert Dogs,803011,Sam Antonacci,10,6,Shortstop,SS,145,Chicago White Sox,2003-02-06,23,Springfield,IL,USA,"5' 11""",193,Left,Right,2024,2026-04-15
2025,Glendale Desert Dogs,802680,Tyler Bradt,21,1,Pitcher,P,138,St. Louis Cardinals,2001-02-11,25,Stuart,FL,USA,"5' 9""",196,Right,Right,2023,
2025,Glendale Desert Dogs,830485,Trent Buchanan,14,1,Pitcher,P,144,Atlanta Braves,2001-09-24,25,Evansville,IN,USA,"6' 2""",233,Right,Right,,
2025,Glendale Desert Dogs,681884,D.J. Carpenter,30,1,Pitcher,P,138,St. Louis Cardinals,2000-02-08,26,Valencia,CA,USA,"6' 7""",242,Right,Right,2022,
2025,Glendale Desert Dogs,807724,Justin Chambers,51,1,Pitcher,P,119,Los Angeles Dodgers,2005-08-14,21,Chandler,AZ,USA,"6' 3""",212,Left,Left,2023,
2025,Glendale Desert Dogs,695003,Randel Clemente,99,1,Pitcher,P,138,St. Louis Cardinals,2001-11-17,24,Sabana Grande de Palenque,,Dominican Republic,"6' 4""",173,Right,Right,,
2025,Glendale Desert Dogs,802117,Patrick Clohisy,24,8,Outfielder,CF,144,Atlanta Braves,2001-12-06,24,St. Louis,MO,USA,"5' 10""",190,Left,Left,2024,
2025,Glendale Desert Dogs,702690,Cutter Coffey,9,5,Third Base,3B,141,Toronto Blue Jays,2004-05-21,22,Bakersfield,CA,USA,"6' 1""",212,Right,Right,2022,
2025,Glendale Desert Dogs,804645,Caden Connor,20,O,Outfield,OF,145,Chicago White Sox,2000-08-02,26,Orange,CA,USA,"6' 0""",200,Left,Left,2023,
2025,Glendale Desert Dogs,699823,Tyler Davis,38,1,Pitcher,P,145,Chicago White Sox,1998-10-03,27,Webster,TX,USA,"6' 2""",210,Right,Right,,2026-04-25
2025,Glendale Desert Dogs,683103,Cade Doughty,50,5,Third Base,3B,144,Atlanta Braves,2001-03-26,25,Baton Rouge,LA,USA,"6' 0""",195,Right,Right,2022,
2025,Glendale Desert Dogs,698927,Edward Duran,17,2,Catcher,C,141,Toronto Blue Jays,2004-05-29,22,Caracas,,Venezuela,"5' 11""",210,Right,Right,,
2025,Glendale Desert Dogs,814436,Ryan Galanie,15,3,First Base,1B,145,Chicago White Sox,2000-06-20,26,Covington,LA,USA,"6' 1""",215,Right,Right,2023,
2025,Glendale Desert Dogs,694188,Jesus Galiz,35,2,Catcher,C,119,Los Angeles Dodgers,2003-12-19,22,Maracaibo,,Venezuela,"5' 10""",183,Right,Right,,
2025,Glendale Desert Dogs,691559,Jose D. Hernandez,70,5,Third Base,3B,119,Los Angeles Dodgers,2003-04-30,23,Barquisimeto,,Venezuela,"6' 1""",145,Right,Right,,
2025,Glendale Desert Dogs,802469,Travis Honeyman,34,7,Outfielder,LF,138,St. Louis Cardinals,2001-10-02,24,Massapequa,NY,USA,"6' 2""",190,Right,Right,2023,
2025,Glendale Desert Dogs,801941,Carson Jacobs,53,1,Pitcher,P,145,Chicago White Sox,2001-08-17,25,Hays,KS,USA,"6' 7""",215,Right,Right,2023,
2025,Glendale Desert Dogs,815794,Hyun-Seok Jang,12,1,Pitcher,P,119,Los Angeles Dodgers,2004-03-14,22,Changwon,,Republic of Korea,"6' 3""",200,Right,Right,,
2025,Glendale Desert Dogs,805347,Jim Jarvis,2,6,Shortstop,SS,144,Atlanta Braves,2000-11-06,25,San Diego,CA,USA,"5' 9""",190,Left,Right,2023,2026-05-06
2025,Glendale Desert Dogs,688460,Josh Kasevich,4,6,Shortstop,SS,141,Toronto Blue Jays,2001-01-17,25,Palo Alto,CA,USA,"6' 1""",200,Right,Right,2022,
2025,Glendale Desert Dogs,800811,Jacob Kroeger,48,1,Pitcher,P,144,Atlanta Braves,2000-05-18,26,Palmyra,MO,USA,"6' 1""",190,Left,Left,2024,
2025,Glendale Desert Dogs,702910,Jhancarlos Lara,92,1,Pitcher,P,120,Washington Nationals,2003-01-15,23,San Cristobal,,Dominican Republic,"6' 3""",190,Right,Right,,
2025,Glendale Desert Dogs,813820,Chen-Wei Lin,54,1,Pitcher,P,138,St. Louis Cardinals,2001-11-22,24,Tainan,,Taiwan,"6' 7""",188,Right,Right,,
2025,Glendale Desert Dogs,801317,Alex Makarewich,18,1,Pitcher,P,119,Los Angeles Dodgers,2002-01-17,24,Santa Monica,CA,USA,"6' 0""",185,Right,Right,2023,
2025,Glendale Desert Dogs,806293,Payton Martin,40,1,Pitcher,P,119,Los Angeles Dodgers,2004-05-19,22,Clemmons,NC,USA,"6' 0""",170,Right,Right,2022,
2025,Glendale Desert Dogs,681410,Connor McCullough,29,1,Pitcher,P,145,Chicago White Sox,1999-10-05,26,Maumelle,AR,USA,"6' 0""",185,Right,Right,2022,
2025,Glendale Desert Dogs,690229,LJ McDonough,32,1,Pitcher,P,144,Atlanta Braves,2000-04-02,26,Lansing,MI,USA,"6' 3""",200,Right,Right,2023,
2025,Glendale Desert Dogs,695731,Braden Montgomery,6,O,Outfield,OF,145,Chicago White Sox,2003-04-16,23,Des Moines,IA,USA,"6' 2""",220,Switch,Right,2024,2026-06-09
2025,Glendale Desert Dogs,703639,Nico Perez,8,6,Shortstop,SS,119,Los Angeles Dodgers,2004-09-20,22,Mayaguez,,Puerto Rico,"5' 10""",175,Right,Right,2022,
2025,Glendale Desert Dogs,815322,Kai Peterson,22,1,Pitcher,P,120,Washington Nationals,2002-08-14,24,Citrus Heights,CA,USA,"6' 0""",190,Left,Left,2023,
2025,Glendale Desert Dogs,700292,Yondrei Rojas,46,1,Pitcher,P,141,Toronto Blue Jays,2002-11-22,23,San Juan de los Morros,,Venezuela,"5' 11""",180,Right,Right,,
2025,Glendale Desert Dogs,695316,Jarold Rosado,44,1,Pitcher,P,145,Chicago White Sox,2002-07-13,24,Santiago,,Dominican Republic,"6' 4""",215,Right,Right,,
2025,Glendale Desert Dogs,692404,Darlin Saladin,26,1,Pitcher,P,138,St. Louis Cardinals,2002-12-28,23,San Pedro de Macoris,,Dominican Republic,"6' 0""",150,Right,Right,,
