date,time_az,away_team,home_team,venue,venue_id,game_pk,game_type,status,status_reason,rescheduled,original_date,description
2025-10-06,6:30 PM,Peoria Javelinas,Scottsdale Scorpions,Scottsdale Stadium,2532,825618,Regular Season,Final,,N,,
2025-10-07,1:30 PM,Glendale Desert Dogs,Salt River Rafters,Salt River Fields at Talking Stick,4249,825635,Regular Season,Final,,N,,
2025-10-07,6:30 PM,Surprise Saguaros,Mesa Solar Sox,Sloan Park,4629,825607,Regular Season,Final,,N,,
2025-10-08,1:30 PM,Peoria Javelinas,Mesa Solar Sox,Sloan Park,4629,825606,Regular Season,Final,,N,,
2025-10-08,6:30 PM,Glendale Desert Dogs,Surprise Saguaros,Surprise Stadium,2603,825591,Regular Season,Final,,N,,
2025-10-08,6:30 PM,Salt River Rafters,Scottsdale Scorpions,Scottsdale Stadium,2532,825619,Regular Season,Final,,N,,
2025-10-09,1:30 PM,Surprise Saguaros,Peoria Javelinas,Peoria Stadium,2530,825652,Regular Season,Final,,N,,
2025-10-09,1:30 PM,Scottsdale Scorpions,Glendale Desert Dogs,Camelback Ranch,3809,825666,Regular Season,Final,,N,,
2025-10-09,1:30 PM,Mesa Solar Sox,Salt River Rafters,Salt River Fields at Talking Stick,4249,825637,Regular Season,Final,,N,,
2025-10-10,1:30 PM,Salt River Rafters,Peoria Javelinas,Peoria Stadium,2530,825651,Regular Season,Final,,N,,
2025-10-10,1:30 PM,Mesa Solar Sox,Scottsdale Scorpions,Scottsdale Stadium,2532,825620,Regular Season,Final,,N,,
2025-10-10,1:30 PM,Surprise Saguaros,Glendale Desert Dogs,Camelback Ranch,3809,825661,Regular Season,Cancelled,Wet Grounds,N,,
2025-10-11,12:30 PM,Salt River Rafters,Surprise Saguaros,Kino Veterans Memorial Stadium,2501,825590,Regular Season,Cancelled,Inclement Weather,N,,
2025-10-11,3:30 PM,Mesa Solar Sox,Peoria Javelinas,Kino Veterans Memorial Stadium,2501,825650,Regular Season,Cancelled,Inclement Weather,N,,
2025-10-11,6:30 PM,Scottsdale Scorpions,Glendale Desert Dogs,Kino Veterans Memorial Stadium,2501,825665,Regular Season,Postponed,Inclement Weather,N,,
2025-10-14,1:30 PM,Glendale Desert Dogs,Salt River Rafters,Salt River Fields at Talking Stick,4249,825636,Regular Season,Final,,N,,
2025-10-14,1:30 PM,Scottsdale Scorpions,Peoria Javelinas,Peoria Stadium,2530,825649,Regular Season,Final,,N,,
2025-10-14,6:30 PM,Surprise Saguaros,Mesa Solar Sox,Sloan Park,4629,825604,Regular Season,Final,,N,,
2025-10-15,1:30 PM,Glendale Desert Dogs,Peoria Javelinas,Peoria Stadium,2530,825648,Regular Season,Final,,N,,
